"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DHFL","EQ","07-Jun-2019","         93.95","         91.10","         93.20","         80.10","         83.25","         83.30","         85.29","   83601446","          7130503487.85","     367098","   10106591","         12.09"
"DHFL","EQ","10-Jun-2019","         83.30","         87.00","         91.50","         85.00","         89.10","         89.55","         88.46","   54696538","          4838683379.55","     261087","    4410838","          8.06"
"DHFL","EQ","11-Jun-2019","         89.55","         91.75","         92.90","         86.55","         90.30","         90.15","         89.53","   35946817","          3218265333.90","     159348","    2548714","          7.09"
"DHFL","EQ","12-Jun-2019","         90.15","         95.90","         96.00","         91.60","         93.00","         93.25","         93.77","   32670799","          3063481579.45","     142365","    3414205","         10.45"
"DHFL","EQ","13-Jun-2019","         93.25","         91.80","         91.80","         82.00","         83.55","         84.35","         85.37","   38398075","          3278076610.00","     188679","    4684784","         12.20"
"DHFL","EQ","14-Jun-2019","         84.35","         83.55","         83.90","         76.65","         80.80","         80.75","         80.11","   34285125","          2746431781.10","     171005","    3781825","         11.03"
"DHFL","EQ","17-Jun-2019","         80.75","         81.05","         84.95","         75.50","         76.00","         76.55","         79.19","   33841217","          2679998410.95","     164019","    3352669","          9.28"
"DHFL","EQ","18-Jun-2019","         76.55","         74.90","         74.90","         62.65","         64.70","         64.95","         69.71","   46820144","          3263682523.55","     203721","    4223326","          8.22"
"DHFL","EQ","19-Jun-2019","         64.95","         62.25","         74.65","         60.15","         62.90","         63.00","         63.91","   48191633","          3080027014.70","     232550","    3064838","          6.36"
"DHFL","EQ","20-Jun-2019","         63.00","         61.50","         70.30","         59.75","         70.15","         69.25","         66.13","   41873993","          2769091664.70","     210333","    3558593","          8.50"
"DHFL","EQ","21-Jun-2019","         69.25","         69.60","         76.65","         67.70","         71.95","         73.20","         73.53","   46362785","          3408933543.65","     224149","    3819339","          8.24"
"DHFL","EQ","24-Jun-2019","         73.20","         73.00","         80.90","         72.00","         78.70","         78.70","         77.80","   40869645","          3179461378.40","     199859","    3448688","          8.44"
"DHFL","EQ","25-Jun-2019","         78.70","         78.85","         80.60","         74.40","         75.80","         75.45","         76.74","   28324966","          2173656386.40","     143597","    2173376","          7.67"
"DHFL","EQ","26-Jun-2019","         75.45","         70.30","         81.70","         68.60","         79.65","         79.75","         76.59","   58016327","          4443220720.45","     237453","    4000884","          6.90"
"DHFL","EQ","27-Jun-2019","         79.75","         80.60","         83.45","         79.10","         81.30","         81.55","         81.37","   30541388","          2485118532.30","     139662","    3208161","         10.50"
"DHFL","EQ","28-Jun-2019","         81.55","         81.50","         81.50","         70.65","         72.70","         72.05","         74.92","   45643892","          3419552017.25","     205780","    5328804","         11.67"
"DHFL","EQ","01-Jul-2019","         72.05","         69.00","         75.00","         69.00","         74.00","         73.60","         72.86","   29675785","          2162114789.35","     142204","    1698009","          5.72"
"DHFL","EQ","02-Jul-2019","         73.60","         76.50","         77.00","         73.35","         75.10","         75.35","         75.14","   19586285","          1471617578.30","      99278","    1738947","          8.88"
"DHFL","EQ","03-Jul-2019","         75.35","         75.90","         84.40","         74.75","         83.15","         83.15","         80.88","   45741583","          3699769741.65","     198321","    5593919","         12.23"
"DHFL","EQ","04-Jul-2019","         83.15","         84.50","         86.60","         81.55","         83.50","         83.20","         83.68","   32955058","          2757837905.65","     142583","    2822303","          8.56"
"DHFL","EQ","05-Jul-2019","         83.20","         84.30","         84.85","         79.20","         80.20","         80.20","         82.09","   20354924","          1670952321.95","      97674","    1690413","          8.30"
